Lat,Lon,Counts
66.78333333,-60.88333333,1
67.33833333,-59.03333333,1
66.365,-58.7275,1
66.37916667,-59.80083333,1
66.9075,-60.63166667,1
66.8275,-60.28,1
66.90166667,-59.60833333,1
66.88416667,-57.9725,1
67.1475,-58.96333333,1
67.33833333,-59.03333333,1
67.43916667,-58.70833333,1
68.5375,-59.9325,1
68.49916667,-59.94083333,1
68.3775,-59.83083333,1
67.91916667,-59.82083333,1
67.515,-60.09583333,1
67.50916667,-59.40333333,1
67.29166667,-59.38333333,1
67.78333333,-61.85666667,1
67.82833333,-62.11416667,1
67.88416667,-62.15833333,1
68.18166667,-63.155,1
68.175,-63.53666667,1
68.11083333,-63.52833333,1
68.04083333,-63.59916667,1
69.94,-64.80333333,1
70.89416667,-67.1025,1
71.345,-68.35583333,1
71.25916667,-68.25916667,1
71.2525,-68.1425,1
66.3625,-60.59,1
66.49166667,-60.18416667,1
66.6025,-60.04833333,1
66.84,-60.89666667,1
66.9075,-60.63166667,1
66.8275,-60.28,1
67.49833333,-58.295,1
67.57583333,-58.45416667,1
68.4075,-59.47416667,1
67.3175,-60.87333333,1
67.3275,-61.16916667,1
67.45083333,-61.475,1
67.62416667,-62.23083333,1
71.13416667,-67.95416667,1
67.57583333,-58.45416667,1
68.08,-59.38333333,1
66.9075,-60.63166667,1
66.81166667,-58.07416667,1
67.37333333,-60.78583333,1
67.62416667,-62.23083333,1
66.3625,-60.59,1
66.6025,-60.04833333,1
66.76166667,-60.73916667,1
66.84,-60.89666667,1
67.57583333,-58.45416667,1
68.08,-59.38333333,1
68.4075,-59.47416667,1
67.3275,-61.16916667,1
67.45083333,-61.475,1
67.62416667,-62.23083333,1
68.385,-64.33916667,1
69.2625,-65.0375,1
70.03416667,-65.5175,1
70.38333333,-65.98666667,1
71.25916667,-68.25916667,1
71.13416667,-67.95416667,1
70.79416667,-67.08416667,1
66.8275,-60.28,1
66.90166667,-59.60833333,1
67.1475,-58.96333333,1
67.33833333,-59.03333333,1
